,Time Stamp,temp,feelslike,humidity,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,conditions,Time Zone,Name,PTID,Load
0,2019-01-01 00:00:00,46.9,44.3,96.24,,5.4,114.0,1009.0,99.0,2.8,"Rain, Overcast",EST,N.Y.C.,61761,5020.1
1,2019-01-01 01:00:00,46.9,46.9,97.19,,0.0,0.0,1007.4,99.0,3.2,"Rain, Overcast",EST,N.Y.C.,61761,4834.7
2,2019-01-01 02:00:00,49.5,49.5,,,2.7,243.0,1005.2,98.4,6.3,"Rain, Overcast",EST,N.Y.C.,61761,4633.1
3,2019-01-01 03:00:00,51.1,,,,6.7,215.0,1003.3,100.0,3.5,Overcast,EST,N.Y.C.,61761,4455.2
4,2019-01-01 04:00:00,51.9,,,,13.7,250.0,1003.0,98.9,3.2,"Rain, Overcast",EST,N.Y.C.,61761,4336.8
5,2019-01-01 05:00:00,53.4,40.07857142857143,62.62,25.3,13.0,246.0,1002.2,99.0,5.9,Overcast,EST,N.Y.C.,61761,4306.2
6,2019-01-01 06:00:00,55.0,39.191904761904766,59.40416666666666,30.864705882352943,12.9,256.0,1003.0,93.1,9.9,Overcast,EST,N.Y.C.,61761,4347.4
7,2019-01-01 07:00:00,57.0,38.18565476190476,56.38801282051281,27.7,18.3,246.0,1002.8,20.8,9.9,"Rain, Partially cloudy",EST,N.Y.C.,61761,4453.0
8,2019-01-01 08:00:00,57.2,36.973890056022405,56.47281196581196,31.8,20.0,236.0,1003.9,75.5,9.9,Partially cloudy,EST,N.Y.C.,61761,4532.0
9,2019-01-01 09:00:00,58.1,36.6068432109686,56.32617596782302,30.8,18.7,250.0,1005.1,61.2,9.9,Partially cloudy,EST,N.Y.C.,61761,4693.2
10,2019-01-01 10:00:00,58.4,36.24937448663676,56.32374565372708,34.9,24.2,270.0,1006.2,75.5,9.9,Partially cloudy,EST,N.Y.C.,61761,4862.8
11,2019-01-01 11:00:00,58.1,35.818530330792605,56.013745653727085,36.1,24.5,282.0,1007.7,51.6,9.9,Partially cloudy,EST,N.Y.C.,61761,4984.4
12,2019-01-01 12:00:00,56.0,35.327577949840226,55.85116628864772,36.2,20.3,314.0,1008.5,20.8,9.9,Partially cloudy,EST,N.Y.C.,61761,5087.8
13,2019-01-01 13:00:00,55.0,34.96150900142752,55.85352934226077,33.3,24.1,324.0,1009.3,17.0,9.9,Clear,EST,N.Y.C.,61761,5093.5
14,2019-01-01 14:00:00,51.6,51.6,55.89601577852982,37.2,24.3,322.0,1011.1,71.7,9.9,Partially cloudy,EST,N.Y.C.,61761,5154.4
15,2019-01-01 15:00:00,49.0,41.5,55.833258446537194,37.1,24.8,320.0,1013.6,80.6,9.9,Partially cloudy,EST,N.Y.C.,61761,5169.6
16,2019-01-01 16:00:00,47.5,39.7,51.38,34.6,23.4,320.0,1015.3,50.8,9.9,Partially cloudy,EST,N.Y.C.,61761,5282.2
17,2019-01-01 17:00:00,45.6,38.2,52.8,33.3,17.9,326.0,1016.6,83.9,9.9,Partially cloudy,EST,N.Y.C.,61761,5573.8
18,2019-01-01 18:00:00,44.6,37.4,56.93,28.5,16.3,314.0,1017.8,77.5,9.9,Partially cloudy,EST,N.Y.C.,61761,5689.8
19,2019-01-01 19:00:00,44.2,37.3,57.78,31.1,14.8,318.0,1018.6,53.6,9.9,Partially cloudy,EST,N.Y.C.,61761,5679.5
20,2019-01-01 20:00:00,43.5,36.6,59.0,21.9,13.9,324.0,1019.7,53.0,9.9,Partially cloudy,EST,N.Y.C.,61761,5595.7
21,2019-01-01 21:00:00,43.2,36.0,54.48,23.0,15.0,330.0,1020.4,25.9,9.9,Partially cloudy,EST,N.Y.C.,61761,5517.7
22,2019-01-01 22:00:00,42.5,35.4,53.22,25.62857142857143,13.8,332.0,1020.2,45.9,9.9,Partially cloudy,EST,N.Y.C.,61761,5360.4
23,2019-01-01 23:00:00,41.4,34.2,53.17,21.9,13.4,314.0,1020.6,95.7,9.9,Overcast,EST,N.Y.C.,61761,5074.6
0,2019-01-02 00:00:00,40.1,32.5,56.63,23.87142857142857,13.4,334.0,1021.6,80.8,9.9,Partially cloudy,EST,N.Y.C.,61761,4766.4
1,2019-01-02 01:00:00,38.6,31.0,57.65,22.66666666666666,12.2,330.0,1022.1,20.8,9.9,Partially cloudy,EST,N.Y.C.,61761,4536.1
2,2019-01-02 02:00:00,38.2,30.8,57.98,22.79444444444444,11.6,332.0,1022.8,29.0,9.9,Partially cloudy,EST,N.Y.C.,61761,4404.3
3,2019-01-02 03:00:00,37.1,28.9,57.66,22.76018518518518,13.0,332.0,1023.8,29.0,9.9,Partially cloudy,EST,N.Y.C.,61761,4336.6
4,2019-01-02 04:00:00,37.1,30.0,53.98,19.7,10.3,334.0,1023.8,34.2,9.9,Partially cloudy,EST,N.Y.C.,61761,4331.3
5,2019-01-02 05:00:00,36.1,29.1,56.28,22.358544973544973,9.4,346.0,1024.2,34.2,9.9,Partially cloudy,EST,N.Y.C.,61761,4462.2
6,2019-01-02 06:00:00,35.8,30.6,56.42,22.055968253968253,6.3,13.0,1025.0,34.2,9.9,Partially cloudy,EST,N.Y.C.,61761,4777.9
7,2019-01-02 07:00:00,35.3,27.9,55.99,21.93382857142857,9.8,1.0,1026.3,25.9,9.9,Partially cloudy,EST,N.Y.C.,61761,5389.2
8,2019-01-02 08:00:00,35.1,29.4,56.44,21.76170539682539,6.7,11.0,1026.8,27.7,9.9,Partially cloudy,EST,N.Y.C.,61761,5791.0
9,2019-01-02 09:00:00,36.0,29.8,57.45,21.562009439153435,7.8,28.0,1027.3,22.5,9.9,Partially cloudy,EST,N.Y.C.,61761,6098.2
10,2019-01-02 10:00:00,36.2,30.4,54.82,21.934411326984122,7.1,28.0,1027.8,32.3,9.9,,EST,N.Y.C.,61761,6199.0
11,2019-01-02 11:00:00,37.0,32.2,52.59,21.849584597671956,6.0,50.0,1027.7,31.5,9.2,,EST,N.Y.C.,61761,6242.5
12,2019-01-02 12:00:00,38.0,32.9,50.62,21.808307866412697,6.7,60.0,1027.1,21.7,9.9,,EST,N.Y.C.,61761,6274.3
13,2019-01-02 13:00:00,38.1,33.9,49.16,21.78320372540952,5.4,80.0,1026.2,21.7,9.9,,EST,N.Y.C.,61761,6281.4
14,2019-01-02 14:00:00,38.9,38.9,49.63,21.62291949260529,2.0,29.0,1025.7,21.7,9.9,,EST,N.Y.C.,61761,6268.5
15,2019-01-02 15:00:00,38.7,34.5,51.01,21.633071168180603,5.6,80.0,1025.4,21.7,9.9,,EST,N.Y.C.,61761,6272.7
16,2019-01-02 16:00:00,38.2,33.5,54.05,21.628155264325727,6.3,150.0,1024.8,53.3,9.9,,EST,N.Y.C.,61761,6395.5
17,2019-01-02 17:00:00,37.3,31.0,56.36,21.596522502419123,8.7,134.0,1024.7,58.4,9.9,,EST,N.Y.C.,61761,6600.8
18,2019-01-02 18:00:00,37.1,31.1,56.33,22.332984019117532,8.1,146.0,1024.4,97.5,9.9,,EST,N.Y.C.,61761,6649.9
19,2019-01-02 19:00:00,37.3,31.4,56.01,23.234850271849808,7.8,150.0,1024.0,93.9,9.9,,EST,N.Y.C.,61761,6451.3
20,2019-01-02 20:00:00,37.5,30.8,55.57,23.60255832258928,9.4,156.0,1022.6,93.9,9.9,,EST,N.Y.C.,61761,6323.2
21,2019-01-02 21:00:00,38.0,31.7,55.44,23.626824580027407,8.9,162.0,1021.7,93.9,9.9,,EST,N.Y.C.,61761,6086.3
22,2019-01-02 22:00:00,38.4,33.4,59.66,23.80852179054574,6.7,148.0,1020.6,93.9,9.9,,EST,N.Y.C.,61761,5809.7
23,2019-01-02 23:00:00,39.3,33.3,61.9,24.00961263492089,8.7,164.0,1019.4,84.1,9.9,,EST,N.Y.C.,61761,5392.6
0,2019-01-03 00:00:00,40.1,35.4,66.34,24.16203341817574,6.8,159.0,1018.9,72.2,9.9,,EST,N.Y.C.,61761,4978.6
1,2019-01-03 01:00:00,39.8,37.1,76.31,24.246322795114462,4.1,103.0,1015.642105263158,69.3,9.9,,EST,N.Y.C.,61761,4704.8
2,2019-01-03 02:00:00,40.1,40.1,78.9,24.304846838071295,2.7,103.0,1015.357105263158,65.4,9.9,Partially cloudy,EST,N.Y.C.,61761,4514.1
3,2019-01-03 03:00:00,39.8,39.8,83.47,24.366485225166194,2.7,81.0,1015.1047243107771,84.9,9.9,Partially cloudy,EST,N.Y.C.,61761,4397.7
4,2019-01-03 04:00:00,41.2,38.5,79.83,24.417209173768057,4.1,137.0,1014.9138152198681,89.4,9.9,Partially cloudy,EST,N.Y.C.,61761,4367.5
5,2019-01-03 05:00:00,42.2,42.2,79.1,24.45426340457234,2.7,235.0,1014.7659891329115,95.9,9.9,Overcast,EST,N.Y.C.,61761,4455.0
6,2019-01-03 06:00:00,43.5,43.5,77.17,24.480829766972033,1.4,294.0,1014.657655799578,89.4,9.9,Partially cloudy,EST,N.Y.C.,61761,4805.1
7,2019-01-03 07:00:00,44.0,39.2,79.01,24.50214858259545,8.5,234.0,1011.5,93.1,9.9,Overcast,EST,N.Y.C.,61761,5361.3
8,2019-01-03 08:00:00,43.2,37.1,77.72,24.52008510482492,11.3,252.0,1012.0,85.4,9.9,Partially cloudy,EST,N.Y.C.,61761,5801.1
9,2019-01-03 09:00:00,43.2,36.8,75.62,20.8,12.0,276.0,1012.6,84.6,9.9,Partially cloudy,EST,N.Y.C.,61761,6043.4
